id	sentence
156	It makes my blood boil when people talk loudly on their phones in quiet public spaces.
157	The sight of the towering waves during the storm terrified me.
158	It's surprising that he gave up so easily.
159	It’s disappointing that we couldn’t spend more time together.
160	Fists clenched, teeth gritted, she seethed with pent-up frustration.
161	Being alone in a new place can make me feel anxious and vulnerable.
162	Not getting results I want after putting my soul into the task
163	I lose my temper when I see someone mistreating animals.
164	I was suprised to see my parents stand next to the road.
165	I'm sad when I have to get up early.
166	I enjoy a cup of tea when it's cold outside.
167	The sudden thunderstorm caught us off guard during our picnic.
168	The students were confused about how to begin the task.
169	The ancient artifact was discovered right in our own backyard.
170	Stepping on a squishy banana peel made me cringe and want to wash my foot.
171	My heart raced with fear as I heard strange noises in my room.
172	He worried about his soldier sons in the war.
173	I was surprised by the test at school.
174	I finished the race in 1st position
175	The family gathered together in grief as they mourned the loss of their beloved pet.
176	All the children were in high spirits on the last day of school.
177	I get sad when I see a sick animal.
178	I love it when winter is over.
179	What annoys me is that they didn't let us in.
180	I felt scared when I got lost in the woods, with no one around.
181	The sight and smell of rotten food in the refrigerator made her feel nauseous with disgust. 
182	he slammed the door to his room, a testament the rage he was feeling.
183	I am very hesitant to buy products from this street vendor.
184	Discovering a hidden talent for painting came as a delightful surprise to her. 
185	The warmth of the sun on my face fills me with joy.
186	My dog wags its tail vigorously and jumps around happily when it sees me.
187	My dog Betty always cheers me up.
188	It is nice when things end up being not to bad.
189	The state of the public restroom was disgusting, there was toilet paper on the ground.
190	The sharp retort sliced through the air, fueled by a boiling fury.
191	Bungee jumping seems very scary
192	I'm scared when I skydive at night.
193	It is awful there are so many animals being abused.
194	Being disregarded when I'm talking
195	I feel angry whenever I get blamed for actions I haven't commited
196	It is his plesure to host this party.
197	Old friends' unexpected arrival turned Lisa's evening into a joyous surprise.
198	The slimy texture of the spoiled jelly on my sandwich was unpleasant.
199	I hate the feeling of hand cream or oil on my hands.
200	The child sneezing in her face made her queasy.
201	I am very proud that I got a 10 on my math exams.
202	Hearing the lies spread about me ignited a fire of anger inside that I couldn't quench.
203	The surprise birthday party my friends threw for me filled me joy.
204	It's terrifying to walk alone at night.
205	I had to bite my tongue to stop myself from yelling in frustration.
206	Billy was stunned to find his crush was in the same class as him.
207	He positively surprised her.
208	The audience gasped in surprise at the unexpected plot twist in the play.
209	A grimace twisted her features as she caught a whiff of the foul odor emanating from the garbage bin.
210	I walked on the street after carnaval and it's absolutely awful
211	Receiving an unexpected gift from a stranger in the mail left her pleasantly surprised and curious.
212	One of my friends has a fear of spiders.
213	She was affraid to not oversleep.
214	There's is no need to be resentful towards people with different opinions.
215	I hate when my shoes are dirty.
216	Memories of better times bring tears to my eyes.
217	I am excited for the holidays.
218	Why does it smell so bad in here?
219	It angers me when someone cuts the queue.
220	I didn't expect my brother to knock on my door.
221	I love it when the warm sun of the summer shines on my face.
222	It's not fair that she passes and I don't.
223	Being left behind in space
224	I'm afraid of almost drowning at a obscure part of the ocean
225	He is panicking that he might not pass the semester.
226	I’ve been crying for days.
227	The abandoned teddy bear lay forgotten in the corner.
228	Seeing her name on the winner's list left her in shock.
229	They started panicking when they heard the Police sirens.
230	I get happy when I get to sleep.
231	I've just won the annual marathon in my city!
232	He was hesitant to share his phone number.
233	My medicine has a side effect, which can make me feel agitated.
234	The man was shocked to see that his wife prepared a dinner for the two of them when he got back from a long day of work.
235	My dog was very excited when I started playing with him.
236	Katie felt humaliated when her mother showed embarrassing pictures of her to her boyfriend,
237	The little boy was too afraid to enter the dark room.
238	The solitary figure sat on the park bench, lost in thoughts of his bleak situation.
239	I can't wait for us to go to Spain!
240	Watching sunsets relaxes me.
241	The strong smell of the rotten food repelled me from entering the kitchen.
242	letting opportuinity slip through fingers
243	I cried when I heard the song on the radio that reminded me of him.
244	My grandmom was really sad when my grandpa passed
245	"Blindfolded, she entered the room to find a group of friends and family shouting, ""Happy Birthday!"" — a delightful surprise party she never saw coming."
246	He felt alienated in his friend group.
247	My sister feels uncomfortable when strangers talk to her in the clubs.
248	The unknown looms large, casting shadows of fear in my mind.
249	I won Lotto
250	The rotten egg's smell made me feel gross.
251	Wiping away tears, she whispered a final goodbye to a dear friend.
252	Luna can not bear if someone is impolite with the elderly people.
253	 Hugging my pet feels warm and loving.
254	My mother is the best mother in the world!
255	I feel fearful whenever a loud noise occurs around me
256	The blatant disregard for the environment in the recent policy changes fueled an anger that was hard to shake off.
257	 Losing my old photographs brought tears to my eyes.
258	The father was yelling at the child because he got an insufficient grade in math class.
259	I felt left out when my friends went off to do something together without me.
260	The dumpster reeks.
261	It enfuriates me when I am being treated unfairly.
262	I feel surprised whenever someone I don't talk to often remembers my birthday
263	I get so mad whenever someone talks to loud when I'm having a conversation
264	Reading the final page of a story that had become a part of me, I was struck by a wave of sadness, knowing it was the end.
265	When someone commented on my weight, I started to feel insecure.
266	People are terrified at the thought of death.
267	I hate to see a hair in my food.
268	John felt really uncomfortable when he had to present his findings after doing nothing.
269	I am thankful for having such a lovely family.
270	I hate driving arround Sofia.
271	I feel at ease when I can feel and taste the ocean breeze
272	I fear the never ending march of time.
273	I was in awe of this country's beauty.
274	She can't bear the thought of dirty, unwashed dishes.
275	Spending time with loved ones always brings a smile to my face.
276	They were delighted with the results.
277	It was the worst gig ever, the seats were uncomfortable and music was too loud.
278	She gags at the thought of eating slimy oysters.
279	Lately, I have been feeling disconnected from others and unable to find joy in anything.
280	Maya felt joyful when she received a hug from her grandmother.
281	When the boulder fell on the road I stamped the break pedal out of fear.
282	Going down to the basement is always terrifying.
283	The unexpected arrival of guests left me pleasantly surprised.
284	Wow, I can't believe you won the contest.
285	Funda cried her eyes out when she lost her puppy.
286	The woman was too stunned to speak.
287	I'm disgusted with the way she treated you.
288	I'm furious that someone took credit for my hard work.
289	My heart broke when my girlfriend of five years and I split up.
290	I feel uneasy walking alone at night.
291	The dirty dishes in the sink are utterly revolting.
292	That smell sickens me.
293	The freshmen are intimidated by the seniors.
294	The sudden loud noise in the quiet room startled me.
295	The man ran away when three big men wanted to fight with him.
296	Tom wandered through the empty school, feeling a heavy sadness in the echoing halls.
297	After losing the game, he stormed out in a fit of rage.
298	I was repulsed by the things I have seen on the internet.
299	He was delighted from the manners of the young lady.
300	I didn’t expect her to cut her hair so short.
301	My parents get angry at me when I do not listen them.
302	The news of him leaving left me feeling utterly heartbroken.
303	I didn't expect the movie to end that way.
304	It's a incredibly pleasing coincidence whenever I run into a good friend on the road
305	I feel my blood boiling with anger when I'm listening to my boyfriend's excuses.
306	He's sad about the assignment.
307	There's one piece of cake left in the fridge, but it's all squished. I have the urge to eat it and not waste food.
308	I'm lonely when i smoke alone.
309	The sudden clap of thunder made me jump with surprise.
310	The presentation on monday is making me nervous.
311	The experiment yielded results that defied all our expectations.
312	Unfair treatment at work fueled his simmering anger towards his boss.
313	The news of the lottery win left him in a state of disbelief.
314	I fear of being lonely.
315	The friend I always hang out with said he does not want to hang out with me, this saddens me.
316	At the top of the drop tower, I was terrified.
317	My food order is 3 hours late !
318	I love going to solo trips!
319	He was afraid to admit his mistake, fearing the consequences of his actions.
320	Her smile was so wide it almost lit up the entire room.
321	The policy will flabbergast most people.
322	Dealing with scammers
323	The dumpster's odor made me frown as I took out the trash.
324	I was angry at my friend.
325	I like when it rains
326	It's a bummer that I failed for biology exams again.
327	I always get angry when my flat mate whines about everything.
328	Dark, empty streets at night always make her feel nervous.
329	The way he acted was really surprising.
330	The upcoming deadline is making me terrified. 
331	I felt dejected when I received disappointing news about a internship opportunity.
332	it feels like a stab in the back when your partner cheats on you.
333	Look there is a cat on the road!
334	I like spending time volunteering.
335	Yesterday I felt so energetic to finish it.
336	Panic spread when news of a new COVID variant surfaced.
337	The thought of returning to London filled her with dread.
338	It's disgusting to find hair in your food. 
339	Walking alone at night brings shivers up my back.
340	As the last page turned, a tear fell, mourning the end of the story that had become her escape.
341	I get tired, waking up so early every morning.
342	It was terrifying watching that accident happen.
343	My brother is furious when his favorite football team loses a match.
344	I don't know what happened to me when the car fell in the water.
345	The dog had his tail between his legs, trembling with fear.
346	Moldy food disgusts me.
347	Scratching nails across certain surfaces makes me cringe.
348	 The unexpected creaking sound at home game me shivers.
349	 I love riding my bike to work!
350	I will cry if my puppy gets sick
351	I'm sad when I'm out of vodka.
352	All my friends are terrified of bugs.
353	I'm sad whenever I am not included
354	Seeing my childhood friend in a city thousands of miles from home took me by complete surprise.
355	The creaking floorboards at night filled his mind with unease, making sleep elusive.
356	That man is jumping with excitement, his face lit up with a wide grin, because he just won the lottery.
357	As the curtains opened, the audience erupted in cheers, surprised by the celebrity guest making a special appearance in the school play.
358	Losing a cherished pet left him with a heavy heart and pangs of grief.
359	I enjoy spending time in the park.
360	The weight of loss sits heavy on my heart.
361	I was pleasantly surprised by how well my students performed on the test.
362	The sight and smell of the decaying food in the garbage makes her stomach churn.
363	The neighbour seems very downcast since they lost their cat.
364	When someone picks their nose, she will be disgusted
365	Seeing a large dog unleashed makes her heart race.
366	I love coming home to have my dog greet me
367	I'm speechless.
368	Finding mold in the corners of the shower stall grosses me out beyond words.
369	My boss was livid when he saw the reports from last month
370	Slamming the door, she vented her anger after a heated argument with her sibling.
371	I don't think that is a good idea.
372	She feels left out by her friends.
373	I can't believe you forgot my birthday again; I'm absolutely fuming.
374	It's disgusting when someone makes a mess and don't clean it up
375	I find it repulsive when people litter in beautiful natural parks.
376	The streets of Tilburg during carnaval are covered with garbage, puke and excrement.
377	The passing of my granddad made me very depressed
378	I love my job.
379	Looking at the garbage people throw in the street makes me sick.
380	When did the discount on energy drinks start?
381	I was so nervous when I heard my manager wanted to talk to me.
382	The sight of overripe, squashed fruit on the sidewalk is thoroughly unappetizing.
383	I am so done with this place.
384	Lisa felt hurt when her classmates laughed at her mistake.
385	I despise people who commit any form of abuse.
386	I was startled by her presence in the meeting.
387	Gazing at old photographs stirred up bittersweet memories of happier times. 
388	I really dislike kale
389	I think it's disgusting when people don't wash their hands after going to the bathroom.
390	Finding the movie I had been searching for months brought me an immense joy that I hadn't felt in a long time.
391	After she passed away, this place felt so empty.
392	My mother was really angry with me.
393	I got surprised for my birthday.
394	Everyone laughs when my uncle jokes around.
395	I am mad at her because her behaviour was impolite.
396	It is neglectful to disregard the importance of dental care.
397	It's so scary when someone almost hits you on the road.
398	Witnessing the northern lights dance across the sky for the first time was a breathtaking surprise, exceeding all expectations.
399	I like standing in the sun.
400	Thinking about meat production makes me sad.
401	I can't believe I listened to you.
402	I love going on a walk in spring!
403	Seeing the injustice faced by vulnerable communities every day stoked a deep-seated anger and a desire to advocate for change.
404	After the argument, left him crying alone in his room.
405	I need to clean up after my dog pooped
406	It was a pleasant surprise when I found 20 euros in my back pocket!
407	I love eating cake.
408	I was taken aback when I discovered I had won the competition.
409	She wished for a better grade.
410	I recieved happy birthday from an acquaintance I don't talk with
411	His patience finally boiled over when the computer crashed for the third time that day.
412	Hearing a loud noice makes me jump.
413	The idea of using a dirty bathroom with no soap or toilet paper is horrifyingly disgusting.
414	Artists are enraged that AI is taking their jobs.
415	His face turned red with rage as he discovered someone had tampered with his work without permission.
416	I was so happy when I found my lost wallet.
417	He got very raged after finding out his girlfriend cheated on him.
418	It is so frustrating when someone tells you to do something in an arrogant voice.
419	I was so surprised when I found a letter in my mailbox today.
420	I get angry when I get a flat tire.
421	Heart racing, she stared in disbelief at the improbable sight unfolding before her eyes.
422	The rainy days match my gloomy mood perfectly.
423	Opening the door to find her long-lost friend standing on the doorstep left her speechless with surprise.
424	The mother was upset by the constant cries of her child.
425	I’m thankful for my parents.
426	The news of the natural disaster left a heavy weight on my heart.
427	I have finally found that coin I was looking for.
428	I hate the feeling when I have to bury my dead pets
429	It made me really sad to see homeless people begging for food on the streets.
430	At the end of this year, he was genuinely depressed.
431	I want to throw up when the meat I eat is chewy.
432	Witnessing acts of cruelty towards the vulnerable fills me with disgust.
433	Jason recoiled at the slimy texture of expired food he bit into unknowingly.
434	The boy smashed his desk when he died in the videogame.
435	It's disgusting when someone sneezes in my face. 
436	None of my friend ever invite me to hang out.
437	I ran away out of fear when the clown ran at me.
438	Emily's mood matched the gray clouds outside, lost in thoughts of a broken friendship.
439	My stomach turned over when I saw someone kick that dog, what a disgusting act.
440	I love that we have so many international students in this university.
441	Walking through the dark alley at night fills me with a sense of dread.
442	I'm very uncomfortable with the naked man in the park. 
443	I'm afraid of hurting pets that I care about
444	The blatant disregard for the rules at the park made my blood boil with anger.
445	I was heart-broken when the coffee machine broke.
446	He was sad because he dropped his sandwich upside down.
447	It's nice to see my plant growing.
448	Changing the baby's diaper made her nauseous.
449	The thought of social gatherings perturbs me.
450	I was terrified when a guy was following me home at night.
451	She was truly amazed by the output of this project.
452	It disgusts me when there is dirt in the sea.
453	I’m optimistic about this block.
454	Seeing my childhood friend at the reunion after decades was a surprise.
455	They really won the lottery?
456	My brother loves Nutella with pickles and I'm absolutely repelled by that. 
457	Public performance makes my heart race.
458	I am surprised that you came
459	I was excited when I heard my name for the first place of the competition!
460	He was disheartened when he failed the important exam.
461	Rock climbing is scary
462	Whoa, another Windows update!
463	There is so much to do, we will never be able to finish that.
464	I am dreading the visit to the doctor.
465	This movie is very depressing to see.
466	The couple stormed off after hearing they weren't invited to the wedding.
467	The haunting melody of the old piano cast a shadow of sadness over the room and its solitary player.
468	Watching my friend succeed, puts a smile on my face.
469	Pool filters make me really uneasy and scared
470	It makes me angry when no one is available to cover my shift.
471	The view on the left is beautiful.
472	I can't stand people smoking near bus stops.
473	People that play with gum in their mouth disgust me.
474	He has quite a temper when he plays games on his computer. 
475	Emily's wave of disgust prompted a quick cleanup of the spoiled milk in the fridge.
476	My sister hates it when someone touches her stuff
477	Someone did not take the trash out.
478	My brother announced he was having a baby, it was surprising.
479	Mark's hands shook with anxiety as he prepared to give a presentation in front of a large audience.
480	He can't stand the stickiness of spilled soda on the floor.
481	Why are they always late?
482	I was thrown off guard by the surprise party.
483	I was annoyed at my sister for using my clothes.
484	I despise lying above all else; honesty is paramount to me.
485	The flying boat really caught me off guard.
486	The chef is bitter that his dishes were disrespected.
487	You really need to clean here, everything is sticky.
488	I am angry.
489	Do not talk to me like that you ungrateful kid!
490	At the sudden, loud bang, everyone in the room flinched in unison.
491	The scent of fresh flowers always brings her joy.
492	She started crying after she heard the news.
493	Unexpected encounters often lead to delightful surprises.
494	It was remarkable to see how quickly the tiny seedling grew into a towering tree.
495	Hearing the news about the promotion left me pleasantly astonished.
496	He was shocked when there was an exam today.
497	I cannot stand the smell of spoiled milk
498	Her constant lateness to meetings was beginning to really grate on me.
499	The underdog team won against all odds in the final minutes of the game.
500	I panicked when he went over the speed limit. 
501	Taking a moment to appreciate the beauty of nature lifts my spirits.
502	Finding money is a surprise.
503	Seeing cockroaches scatter out of a trashcan made me feel a wave of disgust.
504	I broke my leg, it hurts.
505	I got amazing news today!
506	As the train pulled away, taking him to a new life, a deep sadness settled over me, knowing things would never be the same.
507	Every creak of the floorboards sent a jolt of terror through her trembling frame.
508	I get nauseous by the smell of fish, because I was sick once eating it.
509	The chance of failing the exam fills me with dread.
510	When someone pretends to be an expert but turns out to be a fraud, it's infuriating.
511	I really enjoy working 13 hours in the kitchen serving the same food over and over again.
512	I am afraid I will fail the test.
513	My friend got aggressive when someone yelled at him.
514	electricity parked when I plug in the charger
515	I get angry when I miss my train.
516	Every time I come home I am full of joy.
517	After a fight with my best friend I feel hurt and powerless. 
518	I crashed my car and I want to cry.
519	After this horror, I'm afraid to go outside.
520	I didn't expect a birthday party
521	Eating mango makes my day better.
522	Her sudden appearance at the party was completely unexpected.
523	The sight of mold growing on the walls of the damp room was utterly abhorrent.
524	Whoa, I passed the block!
525	The sudden thunderstorm caught everyone off guard.
526	I am scared.
527	I just saw someone eating a mouse, I almost fainted.
528	I am scared that my uncle will not recover after that accident. 
529	I cannot stand it if someone chews with their mouth open.
530	Mike felt satisfied with his achievement.
531	I was shocked that my neighbor was actually a magician.
532	The challenge before her was daunting, but she knew she had to face her fears to overcome it.
533	We are so glad you found a new job.
534	It is such a pity that the main character of my series died.
535	Having someone appear where you did not expect anyone to be makes you jump
536	Receiving that long-awaited promotion at work made me incredibly happy.
537	I cringe at the sight of a hair in my food.
538	I am going to die alone.
539	My doctor told me anxious that I tested negative.
540	I felt really angry when she lied about plagiarizing my work.
541	Being cut off in traffic triggered a sudden flare-up of intense anger.
542	It's incredible to surpass expectations and achieve results beyond what was predicted.
543	Discovering a new book that captures my interest makes my day more exciting.
544	Someone has been following me down a dark alley.
545	She regretted not saying goodbye, a mistake that haunted her every night.
546	Whenever he hugs me, I feel like I'm in heaven.
547	Raindrops fell steadily from the gray sky as the sorrowing work week started again.
548	I love to think about space!
549	My friend sorrows over the loss of her cat.
550	I failed block E.
551	The sight of the blooming flowers in spring makes my heart happy.
552	After sipping my coffee, I felt uneasy realizing I had used expired milk, making me grimace in discomfort.
553	I wasn't expecting the grade I got.
554	It icks me when people do not wash their hands regulaly.
555	Aron's heart raced with fear as she heard strange noises coming from the attic.
556	The sound of distant sirens echoed through the empty streets, a somber reminder of the tragedies that lurked in the shadows of the city.
557	The sight of the slimy, mould-covered walls of the abandoned house made me want to throw up. 
558	My friends love when I asked them questions about the things they like.
559	She is interested in learning Dutch.
560	The monkey gets really excited when it is fed a banana.
561	You betrayed me even though I trusted you with my life!
562	The moment the sun broke through the clouds, I couldn't help but smile.
563	When I finally see my girlfriend after four months apart, I’ll jump for joy!
564	My dad gets disgusted when he sees people digging gold in their noses. 
565	He finds it nasty when someone leaves their dirty socks on the floor
566	Ralph jumped out of his skin when he heard the gunshot.
567	The slimy texture of the food revolted me
568	Rachel boiled with anger discovering her project was plagiarized.
569	The eerie silence in the abandoned building left me feeling uneasy.
570	The gruesome scene in the movie turned my stomach.
571	Witnessing someone spit on the ground in public sends a wave of disgust through me.
572	I'm depressed because my boyfriend left me for a prettier woman. 
573	I never expected that you would be so tall
574	Winning the game brought a wave of joy over me!
575	The stench of garbage left to rot in the summer sun is enough to make anyone's stomach turn.
576	I was astonished by the paintings of Vincent van Gogh.
577	My grandma is happy when grandpa gives her flowers.
578	I feel lost and without a purpose in life...
579	She was crying a river when watching the movie.
580	She was worried about Mike, because he stopped responding to her messages.  
581	The empty chair at the table during the holidays served as a stark reminder, enveloping me in a deep sadness.
582	I cried because my dad forgot my birthday.
583	Lily felt proud when she received her grade.
584	I am surprised.
585	Why would you spit on the floor ?
586	The eerie silence enveloped her like a suffocating blanket, intensifying her sense of dread.
587	The child had a sad look on his face while looking at his broken toy.
588	When his father abandoned him he felt really bad.
589	I watched a sad movie last night and still haven't recovered.
590	I am disgusted.
591	Stepping in a puddle of muddy water left him feeling utterly disgusted. 
592	Tom's jaw dropped when he discovered his favorite band's secret concert in the local venue.
593	I cry when I loose my toys.
594	I feel so happy when I hear this song!
595	He walked alone, the empty streets echoing his heavy heart.
596	You startled me!
597	I sometimes get really scared because of intrusive thoughts
598	You are an awful person for doing this to me.
599	Getting a low grade gives me negative emotions
600	I just got fired from my job.
601	Look, a double rainbow!
602	Getting sick and missing the party made me feel down and lonely.
603	I feel horrible whenever I don't succeed at doing something
604	I can not stand it if someone snores.
605	Saying goodbye never gets easier.
606	I am so glad that I got this job. 
607	I find it very offended when my mother is too direct with me.
608	I'm sad the last few days before my vacation ends.
609	I get nauseus from the smell of motor oil.
610	everybody was ecstatic to continue the party after the rain had stopted 
611	They were too stunned to speak when the management broke the news to them.
612	Riding a roller coaster is always really exciting.
613	I get frustrated when someone interrupts me while I'm talking.
614	Soldering iron is free to use in library
615	It feels uncomfortable to sit in a cramped space in a classroom.
616	Executive Disfunction makes me depressed.
617	The quiet of the empty room echoed my loneliness, making me feel even more isolated.
618	I get angry when there is no organization.
619	I feel nauseated when I step in something slimy and unknown on the sidewalk.
620	I feel sad when something doesn't go to plan
621	I felt guilty after storming out of this meeting.
622	My mother is finally relieved that surgery is over. 
623	The slimy texture of the food made me feel quite repulsed.
624	It's unbelievable to bump into you randomly like this!
625	He expressed his revulsion towards the whale hunting.
626	The laughter of my dad fills me with happiness.
627	The thought of failing my exams is terrifying.
628	It's so frustrating when you're working on something and you hit a roadblock because something's missing, stalling your progress.
629	I am surprised whenever there's a active discount on products I want
630	She's so lonely .
631	The creaking noise upstairs when I'm home alone sends a chill down my spine.
632	The rain-soaked teddy bear on the sidewalk left Emma with a deep sense of melancholy.
633	I was not expecting my boyfriend to surprise me with a cake on my birthday!
634	I got threatened in the center today.
635	It's hard to be alone.
636	Frustrated by a series of mishaps, she clenched her fists, feeling the heat of anger rising within her.
637	I’m just really unhappy.
638	She felt disgusted when he made a move on her.
639	That tower is way taller than I expected.
640	I enjoy tears and suffering when there is purpose behind the activity.
641	I was so disgusted seeing a cockroach crawling over the kitchen floor.
642	The crowd panicked and stampeded for the exit.
643	The feeling of stepping on something sticky and unknown on the floor is deeply unpleasant.
644	This song sucks !
645	I am grossed out if someone sticks a gum under a table.
646	I hate it when it rains this much.
647	I saw all the litter in the city and I was so disgusted.
648	I don't like when you are behaving like that!
649	What a coincidence to run into you here in the park, of all places!
650	Molded bread is a very disgusting sight.
